Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type
IN1791,PURDUE UNIVERSITY AIRPORT,NA,L,5,1501 AVIATION DR,WEST LAFAYETTE,IN,47907,40.416246,-86.9309955,720,0,26-08-1904,1804,James Baird,Active,BUILDING
AZ7562,CONGRESS PLAZA,NA,L,9,407 W CONGRESS ST,TUCSON,AZ,85701,32.22075,-110.97751,52850,0,01-08-1904,407,Raul Grijalva,Active,BUILDING
PA0517,LIBERTY CENTER PITTSBURGH,NA,L,3,1001 LIBERTY AVE,PITTSBURGH,PA,15222,40.44427,-79.994561,20952,0,07-07-1904,4212,Summer Lee,Active,BUILDING
UT1492,GRENINGER HANGAR,NA,L,8,1223 N AIRPORT RD,CEDAR CITY,UT,84721,37.69924,-113.088,17229,0,12-06-1904,4902,Chris Stewart,Active,BUILDING
FL2488,"MADRID BUILDING, PENSACOLA, FL",NA,L,4,880 N REUS ST,PENSACOLA,FL,32501,30.4212,-87.222181,9454,0,18-05-1904,1201,Matt Gaetz,Active,BUILDING
MD1131,807 WOODS ROAD,NA,L,3,807 WOODS RD,CAMBRIDGE,MD,21613,38.55551,-76.059061,5278,0,23-04-1904,2401,Andy Harris,Active,BUILDING
PA0769,833 CHESTNUT EAST,NA,L,3,833 CHESTNUT ST,PHILADELPHIA,PA,19107,39.9499,-75.155071,22435,0,29-03-1904,4202,Brendan Boyle,Active,BUILDING
AZ6779,1616 E INDIAN SCHOOL,NA,L,9,1616 E INDIAN SCHOOL RD,PHOENIX,AZ,85016,33.49507,-112.04653,10795,0,04-03-1904,401,David Schweikert,Active,BUILDING
PA0822,MILFORD ROAD PROFESSIONAL BUIL,NA,L,3,9090 FRANKLIN HILL RD,EAST STROUDSBURG,PA,18301,41.03679,-75.136981,6921,0,08-02-1904,4208,Matt Cartwright,Active,BUILDING
AZ0681,NACO LPOE MAIN BLDG,NACO LPOE,F,9,3867 S TOWNER AVE,NACO,AZ,85620,31.33458,-109.94829,12881.24,0,14-01-1904,407,Raul Grijalva,Active,BUILDING
TX0689,USBS GATEWAY BROWNSVILLE EXIT BOOTH,USBS GATEWAY BROWNSVILLE,F,7,1500 E ELIZABETH ST,BROWNSVILLE,TX,78520,25.897967,-97.495253,37.6,0,20-12-1903,4834,Vicente Gonzalez,Active,BUILDING
MO1972,4102 SOUTH ARIZONA AVENUE,NA,L,6,4102 ARIZONA AVE,JOPLIN,MO,64804,37.0437275,-94.483569,11926,0,25-11-1903,2907,Eric Burlison,Active,BUILDING
FL1010,ONE ENTERPRISE TOWER,NA,L,4,225 WATER ST,JACKSONVILLE,FL,32202,30.3258151,-81.6615585,2313,0,31-10-1903,1204,Aaron Bean,Active,BUILDING
TX0507,USBS DEL RIO TRUCK PAVILION,USBS DEL RIO,F,7,3140 SPUR 239 INTERNATIONAL BRIDGE,DEL RIO,TX,78840,29.334828,-100.91543,982.93,0,06-10-1903,4823,Tony Gonzales,Active,BUILDING
NM0576,USBS SANTA TERESA FMCSA BUILDIING,USBS SANTA TERESA,F,7,170 PETE V DOMENICI HWY,PLACITAS,NM,88008,31.785619,-106.68027,1886.51,0,11-09-1903,3502,Gabe Vasquez,Active,BUILDING
OR6765,SENECA BUILDING,NA,L,10,874 SENECA RD,EUGENE,OR,97402,44.050581,-123.14121,3701,0,17-08-1903,4104,Val Hoyle,Active,BUILDING
VA0440,METRO PLACE II,NA,L,11,2600 PARK TOWER DR,VIENNA,VA,22180,38.8831,-77.225551,23919,0,23-07-1903,5111,Gerald Connolly,Active,BUILDING
GA2473,NCS BUILDING,NA,L,4,3750 NATURALLY FRESH BLVD,ATLANTA,GA,30349,33.61128,-84.511141,11500,0,28-06-1903,1313,David Scott,Active,BUILDING
WY1212,MRW STORAGE BLDG,NA,L,8,165 W 2ND ST,LOVELL,WY,82431,44.84072,-108.397,4315,0,03-06-1903,5600,Harriet Hageman,Active,BUILDING
TX2592,10824 NORTH CENTRAL EXPRESSWAY,NA,L,7,10824 N CENTRAL EXPY,DALLAS,TX,75231,32.89545,-96.767981,27200,0,09-05-1903,4832,Colin Allred,Active,BUILDING
LA1377,FLANDERS BUILDING,NA,L,7,5304 FLANDERS DR,BATON ROUGE,LA,70808,30.40052,-91.108561,9988,0,14-04-1903,2206,Garret Graves,Active,BUILDING
VA0842,7943-59 ANGUS COURT,NA,L,11,7943 ANGUS CT,SPRINGFIELD,VA,22153,38.743722,-77.205695,54553,0,20-03-1903,5111,Gerald Connolly,Active,BUILDING
CO0674,DFC BLDG 52A,DENVER FEDERAL CENTER,F,8,W 6TH AVE & KIPLING ST,LAKEWOOD,CO,80215,39.7173909,-105.1192011,1373.83,1400.756694,23-02-1903,807,Brittany Pettersen,Active,BUILDING
TX2544,AUSTIN-BERGSTROM INTL AIRPORT,NA,L,7,3600 PRESIDENTIAL BLVD,AUSTIN,TX,78719,30.20256,-97.665431,6984,0,29-01-1903,4835,Greg Casar,Active,BUILDING
KY3066,SUMMIT BUILDING,NA,L,4,131 SUMMIT DR,PIKEVILLE,KY,41501,37.476288,-82.515609,2721,0,04-01-1903,2105,Harold Rogers,Active,BUILDING
MI2217,CUSTOMS AND BORDER PROTECTION,NA,L,5,2600 WILLS DRIVE,MARYSVILLE,MI,48040,42.88395,-82.48537,18000,0,10-12-1902,2609,Lisa McClain,Active,BUILDING
CO0648,DFC BLDG 10,DENVER FEDERAL CENTER,F,8,W 6TH AVE & KIPLING ST,LAKEWOOD,CO,80225,39.71933,-105.112,783.11,798.458743,15-11-1902,807,Brittany Pettersen,Active,BUILDING
WA0953,FEDERAL CENTER SOUTH OFFICE,FEDERAL CENTER SOUTH,F,10,4735 E MARGINAL WAY S,SEATTLE,WA,98134,47.5584299,-122.34063,413219.57,272964.1395,21-10-1902,5307,Pramila Jayapal,Active,BUILDING
AZ7810,SALT RIVER PROJECT,NA,L,9,1521 N PROJECT DR,TEMPE,AZ,85281,33.447475,-111.95279,4418,0,26-09-1902,404,Greg Stanton,Active,BUILDING
CA7333,KINGS CANYON PAVILLION,NA,L,9,4967 E KINGS CANYON RD,FRESNO,CA,93727,36.7360396,-119.72851,0,0,01-09-1902,621,Jim Costa,Active,BUILDING
MT5514,GREAT NORTHERN TOWN CENTER -HELENA - FRONT ST,NA,L,8,901 FRONT ST,HELENA,MT,59601,46.59744,-112.035,55651,0,07-08-1902,3002,Matthew Rosendale,Active,BUILDING
CA0765,FEDERAL CNTR BLDG 2C,ALAMEDA FED CTR,F,9,620 CENTRAL AVE,ALAMEDA,CA,94501,37.771563,-122.27904,8479.12,8901.211451,13-07-1902,612,Barbara Lee,Excess,BUILDING
PA0756,JOHNSTOWN CAMBRIA,NA,L,3,479 AIRPORT RD,JOHNSTOWN,PA,15904,40.31776,-78.836391,836,0,18-06-1902,4213,John Joyce,Active,BUILDING
PA0783,CASTLE COMMONS,NA,L,3,200 S SPRING GARDEN ST,CARLISLE,PA,17013,40.19862,-77.181731,6228,0,24-05-1902,4210,Scott Perry,Active,BUILDING
HI5729,HONOLULU INTERNATIONAL AIRPORT,NA,L,9,300 RODGERS BLVD,HONOLULU,HI,96819,21.3356076,-157.91871,14231,0,29-04-1902,1501,Ed Case,Active,BUILDING
MI2137,MUSKEGON COUNTY AIRPORT,NA,L,5,101 SINCLAIR DRIVE,MUSKEGON,MI,49441,43.1864182,-86.272336,916,0,04-04-1902,2603,Hillary Scholten,Active,BUILDING
DC0236,GATE HOUSE NO. 6,ST ELIZABETHS COMPLEX,F,11,2701 MARTIN LUTHER KING JR AVE SE,WASHINGTON,DC,20032,38.85361,-77.000351,5135.04,0,10-03-1902,1198,Eleanor Norton,Active,BUILDING
TX2344,GREENBRIAR ATRIUM I,NA,L,7,16630 IMPERIAL VALLEY DR,HOUSTON,TX,77060,29.94156,-95.395505,39172,39172,13-02-1902,4829,Sylvia Garcia,Active,BUILDING
FL3174,S. WASHINGTON AVE BLDG,NA,L,4,210 S WASHINGTON AVE,TITUSVILLE,FL,32796,28.61294,-80.807791,4956,0,19-01-1902,1208,Bill Posey,Active,BUILDING
MT5584,MONTANA FIELD OFFICE,NA,L,8,2008 23RD ST S,GREAT FALLS,MT,59405,47.48316,-111.269,10160,0,25-12-1901,3002,Matthew Rosendale,Active,BUILDING
TX8007,USBS J&L LAREDO SITE,USBS J&L LAREDO,F,7,TERMINATION I-35,LAREDO,TX,78040,27.501764,-99.502636,0,0,30-11-1901,4828,Henry Cuellar,Active,LAND
PA0894,145 W. THOMPSON ST.,NA,L,3,145 W THOMPSON ST,PHILADELPHIA,PA,19122,39.97086,-75.137711,26025,0,05-11-1901,4202,Brendan Boyle,Active,BUILDING
NC2619,205 REGENCY EXECUTIVE PARK BUILDING,NA,L,4,205 REGENCY EXECUTIVE PARK DR,CHARLOTTE,NC,28217,35.1519271,-80.895672,4751,0,11-10-1901,3714,Jeff Jackson,Active,BUILDING
WI1794,1137 N. 26TH ST.,NA,L,5,1137 N 26TH ST,SHEBOYGAN,WI,53081,43.75732,-87.740651,5125,0,16-09-1901,5506,Glenn Grothman,Active,BUILDING
NM1452,BP ALAMOGORDO STATION,NA,L,7,1997 HIGHWAY 54 S,ALAMOGORDO,NM,88310,32.8628616,-105.96816,8103,0,22-08-1901,3502,Gabe Vasquez,Active,BUILDING
MN0651,WARROAD MN SECONDARY INSPECTION BUILDING 2,WARROAD MN LPOE,F,5,41059 STATE HIGHWAY 313,WARROAD,MN,56763,48.9887,-95.369615,10582.01,0,28-07-1901,2707,Michelle Fischbach,Active,BUILDING
PR3930,SAN PATRICIO OFF CTR,NA,L,2,7 TABONUCO STREET,GUAYNABO,PR,968,18.4077125,-66.109252,159878,0,03-07-1901,7298,Jenniffer Gonzalez-Colon,Active,BUILDING
TX2252,ONE VETERANS PLAZA,NA,L,7,701 CLAY AVE,WACO,TX,76706,31.55157,-97.129274,138608,0,08-06-1901,4817,Pete Sessions,Active,BUILDING
OH2271,6553 WINFORD AVENUE BUILDING,NA,L,5,6553 WINFORD AVE,HAMILTON,OH,45011,39.39224,-84.509911,10900,0,14-05-1901,3908,Warren Davidson,Active,BUILDING
IN1720,CORPORATE CENTER NORTH II B,NA,L,5,6482 CORPORATE DR,INDIANAPOLIS,IN,46278,39.8740801,-86.264874,27715,0,19-04-1901,1807,Andre Carson,Active,BUILDING
NY7402,2 METROTECH CENTER,NA,L,2,2 METROTECH CTR,BROOKLYN,NY,11201,40.69359,-73.985701,0,0,25-03-1901,3607,Nydia Velazquez,Active,BUILDING
CA8280,1900 O'FARRELL STREET,NA,L,9,1900 OFARRELL ST,SAN MATEO,CA,94403,37.54844,-122.3156,12089,0,28-02-1901,615,Kevin Mullin,Active,BUILDING
DC0112,TAYLOE HOUSE,NA,F,11,717 MADISON PL NW,WASHINGTON,DC,20005,38.8989924,-77.035073,9534.74,0,03-02-1901,1198,Eleanor Norton,Active,BUILDING
MD1825,30 WEST GUDE DRIVE,NA,L,11,30 W GUDE DR,ROCKVILLE,MD,20850,39.10574,-77.159591,10646,0,09-01-1901,2408,Jamie Raskin,Active,BUILDING
TX0566,USBS B&M BROWNSVILLE TABC BOOTH,USBS B&M BROWNSVILLE,F,7,1300 MEXICO BLVD,BROWNSVILLE,TX,78520,25.89417,-97.505571,160,0,15-12-1900,4834,Vicente Gonzalez,Active,BUILDING
TX2123,CALTEX HOUSE,NA,L,7,125 E JOHN W CARPENTER FWY,IRVING,TX,75062,32.8681315,-96.9417826,111214,0,20-11-1900,4806,Jake Ellzey,Active,BUILDING
WY1351,2268 NORTH MAIN,NA,L,8,2268 N MAIN ST,SHERIDAN,WY,82801,44.81387,-106.955,3831,0,26-10-1900,5600,Harriet Hageman,Active,BUILDING
OK1561,1200 W OKMULGEE OK1561,NA,L,7,1200 W OKMULGEE AVE,MUSKOGEE,OK,74401,35.752941,-95.382932,9612,0,01-10-1900,4002,Josh Brecheen,Active,BUILDING
UT0014,J. WILL ROBINSON FB,NA,F,8,88 W 100 N,PROVO,UT,84601,40.23547,-111.66,26535.8,13976.49738,06-09-1900,4903,John Curtis,Active,BUILDING
TX0182,WILLIAM M. STEGER FEDERAL BLDG AND UNITED STATES CH TX0182,TYLER FEDERAL CPLX,F,7,221 W FERGUSON ST,TYLER,TX,75702,32.352075,-95.302553,52639.47,0,12-08-1900,4801,Nathaniel Moran,Active,BUILDING
TX0722,USBS MARCELINO SERNA TORNILLO POV OUTBOUND,USBS MARCELINO SERNA TORNILLO,F,7,1400 LOWER ISLAND (FM 1109) ROAD,TORNILLO,TX,79853,31.435472,-106.14365,1146.04,0,18-07-1900,4823,Tony Gonzales,Active,STRUCTURE
FL2157,WOODLAND COMM BLDG,NA,L,4,1970 MICHIGAN AVE,COCOA,FL,32922,28.3899,-80.753811,3333,0,23-06-1900,1208,Bill Posey,Active,BUILDING
AR0062,HOT SPRINGS POST OFFICE/CTHS,NA,F,7,100 RESERVE ST,HOT SPGS NATL PARK,AR,71901,34.5115398,-93.05398,62382.94,6140.450732,29-05-1900,504,Bruce Westerman,Active,BUILDING
LA1508,LSU SCHOOL OF VETERINARY MEDICINE,NA,L,7,LSU SCHOOL OF VETERINARY MEDICINE,BATON ROUGE,LA,70803,30.411457,-91.187927,16950,16950,04-05-1900,2206,Garret Graves,Active,BUILDING
DC0365,409 3RD ST. S.W.,NA,L,11,409 3RD ST SW,WASHINGTON,DC,20024,38.8846,-77.015741,295457,0,09-04-1900,1198,Eleanor Norton,Active,BUILDING
PA0751,PHILADELPHIA INTERNATIONAL AIRPORT,NA,L,3,8500 ESSINGTON AVE,PHILADELPHIA,PA,19153,39.8946409,-75.229342,7060,0,15-03-1900,4205,Mary Scanlon,Active,BUILDING
AZ8217,DEA TUCSON BUILDING,NA,L,9,6970 S PALO VERDE RD,TUCSON,AZ,85756,32.12562,-110.91777,63501,0,19-02-1900,407,Raul Grijalva,Active,BUILDING
WV0010,FOREST SERVICE BUILDING ELKINS,NA,F,3,200 SYCAMORE ST,ELKINS,WV,26241,38.9277694,-79.847412,30439.38,0,25-01-1900,5402,Alexander Mooney,Active,BUILDING
NM1538,909 METRO AVENUE,NA,L,7,909 METRO AVE,GALLUP,NM,87301,35.5334863,-108.763,0,0,00-01-1900,3503,Teresa Leger Fernandez,Active,BUILDING
NY7679,"85 CRYSTAL RUN RD, MIDDLETOWN, NY 10941",NA,L,2,85 CRYSTAL RUN RD,MIDDLETOWN,NY,10941,41.44986,-74.360898,11110,0,04-03-1904,3618,Patrick Ryan,Active,BUILDING
MN1683,BAXTER BRAINERD SOCIAL SECURIT,NA,L,5,8331 BRANDON RD,BAXTER,MN,56425,46.34465,-94.226681,5986,0,08-02-1904,2708,Pete Stauber,Active,BUILDING
CA6954,5810 NEWTON DR,NA,L,9,5810 NEWTON DR,CARLSBAD,CA,92008,33.13902,-117.28974,18922,0,14-01-1904,649,Mike Levin,Active,BUILDING
DC1268,AMERICAN RED-CROSS LAND,NA,F,11,2025 E ST NW,WASHINGTON,DC,20006,38.89642,-77.045801,0,0,20-12-1903,1198,Eleanor Norton,Active,LAND
IL2520,LAKE CHRISTINE CENTER,NA,L,5,1670 LEBANON AVE,BELLEVILLE,IL,62221,38.5344965,-89.963587,0,0,25-11-1903,1713,Nikki Budzinski,Active,BUILDING
IN0521,BLDG 60 GSA FED CTR,JEFFERSONVILLE CTR,F,5,1201 E 10TH ST,JEFFERSONVILLE,IN,47130,38.2863194,-85.732535,167027.61,0,31-10-1903,1809,Erin Houchin,Active,BUILDING
IN0574,CONTRACTOR GARAGE,GSA HAMMOND IN DEPOT,F,5,3200 SHEFFIELD AVE,HAMMOND,IN,46327,41.6541682,-87.514546,1306.02,0,06-10-1903,1801,Frank Mrvan,Active,BUILDING
FL3196,THE OFFICES AT THE OMNI,NA,L,4,1645 BISCAYNE BLVD,MIAMI,FL,33132,25.7908991,-80.188975,26630,0,11-09-1903,1224,Frederica Wilson,Active,BUILDING
NC2314,1633 JOHN SMALL AVENUE,NA,L,4,1633 JOHN SMALL AVE,WASHINGTON PARK,NC,27889,35.54393,-77.021331,11727,0,17-08-1903,3703,Gregory Murphy,Active,BUILDING
TX0963,USBS YSLETA EL PASO HEADHOUSE,USBS YSLETA EL PASO,F,7,797 S ZARAGOZA RD,EL PASO,TX,79907,31.671985,-106.33538,4551.44,0,23-07-1903,4823,Tony Gonzales,Active,BUILDING
OK0510,GSA PMD CENTER WAREHOUSE 3 N,GSA PMD CENTER,F,7,2800 S EASTERN AVE,OKLAHOMA CITY,OK,73129,35.437535,-97.475389,6000,0,28-06-1903,4003,Frank Lucas,Active,BUILDING
AZ0353,MARIPOSA LPOE - NII COMMERCIAL INSPECTION,NOGALES WEST LPOE,F,9,200 N MARIPOSA RD,NOGALES,AZ,85621,31.3351254,-110.9677,4034.53,0,17-07-1905,407,Raul Grijalva,Active,BUILDING
MT5588,SWEETGRASS BORDER PATROL SECTO,NA,L,8,37 NINE MILE ROAD (STATE ROAD 553),SUNBURST,MT,59482,48.88576,-111.894,33000,0,22-06-1905,3002,Matthew Rosendale,Active,BUILDING
TN1005,LIBRARY GARAGE,NA,L,4,151 6TH AVE N,NASHVILLE,TN,37203,36.1619369,-86.781062,0,0,28-05-1905,4707,Mark Green,Active,STRUCTURE
IL2491,NOVANIS E-BUSINESS CENTER,NA,L,5,3161 W WHITE OAKS DR,SPRINGFIELD,IL,62704,39.75964,-89.710041,14895,0,03-05-1905,1713,Nikki Budzinski,Active,BUILDING
MT5645,RYMAN,NA,L,8,350 RYMAN ST,MISSOULA,MT,59802,46.872783,-113.99513,4422,0,08-04-1905,3001,Ryan Zinke,Active,BUILDING
FL1141,5523 SW 35TH DR,NA,L,4,5523 SW 35TH DR,GAINESVILLE,FL,32608,29.6003288,-82.375325,8843,0,14-03-1905,1203,Kat Cammack,Active,BUILDING
MO0617,FEDERAL CTR BG 115,FC 4300 GOODFELLOW,F,6,4300 GOODFELLOW BLVD,ST. LOUIS,MO,63120,38.6914,-90.267091,10195.22,10365.53019,17-02-1905,2901,Cori Bush,Active,BUILDING
CA7392,MEXPORT BUSINESS CENTER,NA,L,9,1778 CARR RD,CALEXICO,CA,92231,32.6808271,-115.379901,6515,0,23-01-1905,625,Raul Ruiz,Active,BUILDING
NY7593,THE COATES BUILDING,NA,L,2,555 MADISON AVE,NEW YORK,NY,10022,40.76134,-73.972881,23167,23167,29-12-1904,3612,Jerrold Nadler,Active,BUILDING
VA0337,ADVANCED SYSTEMS CTR,NA,F,11,12201 SUNRISE VALLEY DR,RESTON,VA,20192,38.9469842,-77.367512,33307.93,0,04-12-1904,5111,Gerald Connolly,Active,BUILDING
DC0113,COSMOS CLUB,NA,F,11,717 MADISON PL NW,WASHINGTON,DC,20005,38.8989924,-77.035073,10988.03,0,09-11-1904,1198,Eleanor Norton,Active,BUILDING
MS0071,MISS RIVER COMM,NA,F,4,1400 WALNUT ST,VICKSBURG,MS,39180,32.3489808,-90.881195,52432.57,0,15-10-1904,2802,Bennie Thompson,Active,BUILDING
MT5397,FOREST SERVICE BUILDING - HELENA,NA,L,8,2880 SKYWAY DR,HELENA,MT,59602,46.61219,-111.989,1810,0,20-09-1904,3002,Matthew Rosendale,Active,BUILDING
MI2077,DANSER BUILDING,NA,L,5,308 STATE ST,PETOSKEY,MI,49770,45.37156,-84.956891,5454,0,26-08-1904,2601,Jack Bergman,Active,BUILDING
CO0519,DFC BLDG 45,DENVER FEDERAL CENTER,F,8,W 6TH AVE & KIPLING ST,LAKEWOOD,CO,80225,39.72166,-105.119,73143.12,5127.042134,01-08-1904,807,Brittany Pettersen,Active,BUILDING
NV6490,5325 LOUIE LANE,NA,L,9,5325 LOUIE LN,RENO,NV,89511,39.473991,-119.76899,0,0,07-07-1904,3202,Mark Amodei,Active,BUILDING
TX0958,USBS BOTA EL PASO TRUCK INSPECTION,USBS BOTA EL PASO,F,7,3600 E PAISANO DR,EL PASO,TX,79905,31.765631,-106.44938,10041.73,0,12-06-1904,4816,Veronica Escobar,Active,STRUCTURE
ME0074,"USBP HOULTON SECTOR HQ, HODGDON",USBP Houlton Sector,F,1,96 CALAIS RD,HOULTON,ME,4730,46.08891,-67.841461,14630.37,0,18-05-1904,2302,Jared Golden,Active,BUILDING
MT0653,RAYMOND POE - MAIN PORT BUILDING,RAYMOND BORDER STATION,F,8,1519 MT-16,RAYMOND,MT,59256,48.99725,-104.575,17816.45,0,23-04-1904,3002,Matthew Rosendale,Active,BUILDING
AR1173,TWO FINANCIAL CENTRE,NA,L,7,10825 FINANCIAL CENTRE PKWY,LITTLE ROCK,AR,72211,34.7459909,-92.412273,17129,0,29-03-1904,502,J. Hill,Active,BUILDING
MS0505,GREENVILLE US COURTHOUSE,NA,F,4,219 WASHINGTON AVE,GREENVILLE,MS,38701,33.412356,-91.0636335,49016.41,49016.41,04-03-1904,2802,Bennie Thompson,Active,BUILDING
CA8057,3470 12TH STREET,NA,L,9,3470 12TH ST,RIVERSIDE,CA,92501,33.97639,-117.37471,59630,168.4530775,08-02-1904,639,Mark Takano,Active,BUILDING
CA8359,US FOREST SERVICE BUILDING,NA,L,9,875 MITCHELL AVE,OROVILLE,CA,95965,39.50458,-121.56367,16753,0,14-01-1904,601,Doug LaMalfa,Active,BUILDING
MD1046,"WEDGEWOOD SOUTH, BUILDING #3",NA,L,3,4420 BUCKEYSTOWN PIKE,FREDERICK,MD,21704,39.35461,-77.423361,370994,0,20-12-1903,2406,David Trone,Active,BUILDING
WA0653,SUMAS LAND PORT OF ENTRY STATION BUILDING,SUMAS LPOE,F,10,103 CHERRY ST,SUMAS,WA,98295,49.0020467,-122.2656274,21308.6,0,25-11-1903,5302,Rick Larsen,Active,BUILDING
KS0094,ROBERT J. DOLE US COURTHOUSE,NA,F,6,500 STATE AVE,KANSAS CITY,KS,66101,39.11709,-94.622591,238062.98,3181.40198,31-10-1903,2002,Jake LaTurner,Active,BUILDING
FL2423,OHO/SSA CLEARWATER,NA,L,4,600 CLEVELAND ST,CLEARWATER,FL,33755,27.96601,-82.798471,2214,0,06-10-1903,1213,Anna Paulina Luna,Active,BUILDING
NE1375,2001 BROADWAY,NA,L,6,2001 BROADWAY,SCOTTSBLUFF,NE,69361,41.86689,-103.66231,2000,0,11-09-1903,3103,Adrian Smith,Active,BUILDING
TX2581,ALPINE FEDERAL COURTHOUSE,NA,L,7,2450 N HIGHWAY 118,ALPINE,TX,79830,30.3810025,-103.67037,30610,0,17-08-1903,4823,Tony Gonzales,Active,BUILDING
TX2025,NORTH STAR II BLDG.,NA,L,7,8713 AIRPORT FWY,NORTH RICHLAND HILLS,TX,76180,32.8377208,-97.194214,5927,0,23-07-1903,4824,Beth Van Duyne,Active,BUILDING
TX2707,2333 HOBART,NA,L,7,2333 N HOBART ST,PAMPA,TX,79065,35.5635,-100.97252,5565,0,28-06-1903,4813,Ronny Jackson,Active,BUILDING
MN1730,2900 TECH CENTER,NA,L,5,2900 43RD ST NW,ROCHESTER,MN,55901,44.06752,-92.506951,2741,0,17-07-1905,2701,Brad Finstad,Active,BUILDING
MO0610,FED CTR BG 104E,FC 4300 GOODFELLOW,F,6,4300 GOODFELLOW BLVD,ST. LOUIS,MO,63120,38.6914,-90.267091,17959.13,18228.91579,22-06-1905,2901,Cori Bush,Active,BUILDING
WV0163,ROBERT C. BYRD FB & COURTHOUSE,NA,F,3,300 VIRGINIA ST E,CHARLESTON,WV,25301,38.35248,-81.638991,317246.56,1676.213677,28-05-1905,5401,Carol Miller,Active,BUILDING
IL2542,BROADVIEW PLACE,NA,L,5,2000 S 25TH AVE,BROADVIEW,IL,60155,41.866812,-87.864138,0,0,03-05-1905,1707,Danny Davis,Active,STRUCTURE
TX0301,USBS LOS INDIOS ADMINISTRATION BUILDING,USBS LOS INDIOS,F,7,100 LOS INDIOS BLVD,LOS INDIOS,TX,78567,26.038166,-97.73667,12430.99,247.8201108,08-04-1905,4834,Vicente Gonzalez,Active,BUILDING
TX2081,CAPITAL OF TEXAS PLAZA,NA,L,7,9009 MOUNTAIN RIDGE DR,AUSTIN,TX,78759,30.38693,-97.753341,20288,0,14-03-1905,4837,Lloyd Doggett,Active,BUILDING
AR1273,10810 EXECUTIVE CENTER DRIVE,NA,L,7,10810 EXECUTIVE CENTER DR,LITTLE ROCK,AR,72211,34.74005,-92.396971,8352,0,17-02-1905,502,J. Hill,Active,BUILDING
TN0013,FRED D. THOMPSON U.S. COURTHOUSE & FEDERAL BUILDING,NA,F,4,719 CHURCH ST,NASHVILLE,TN,37203,36.16138,-86.783121,248220.52,0,23-01-1905,4707,Mark Green,Active,BUILDING
VA0263,SKYLINE VI,NA,L,11,5109 LEESBURG PIKE,FALLS CHURCH,VA,22041,38.84355,-77.116891,104366,65886.67027,29-12-1904,5108,Donald Beyer,Active,BUILDING
